Date,BND,SPY,TSLA
2015-09-02,1934700,160269300,69438000
2015-09-03,2503000,152087800,62922000
2015-09-04,1213800,207081000,55338000
2015-09-08,1194600,116025700,47073000
2015-09-09,4265400,149347700,50862000
2015-09-10,1889000,158611100,40635000
2015-09-11,1411500,119691200,35262000
2015-09-14,905900,79452000,43363500
2015-09-15,1697300,113806200,44002500
2015-09-16,1579000,99581600,66256500
2015-09-17,1833200,276046600,53787000
2015-09-18,1639800,223657500,56446500
2015-09-21,933800,105726200,91803000
2015-09-22,1444000,153890900,54966000
2015-09-23,709000,92790600,39012000
2015-09-24,1454400,159378800,51723000
2015-09-25,1134000,155054800,56601000
2015-09-28,1305000,178515900,73516500
2015-09-29,1256600,159045600,55548000
2015-09-30,4432000,163452000,73944000
2015-10-01,2023700,131079000,68595000
2015-10-02,1770400,211003300,66360000
2015-10-05,4199900,126320800,55348500
2015-10-06,1925300,110274500,78378000
2015-10-07,1871000,124307300,102210000
2015-10-08,1118100,153055200,91998000
2015-10-09,1197400,107069200,92376000
2015-10-12,864100,56395600,57544500
2015-10-13,971700,88038700,77572500
2015-10-14,786300,99106200,46566000
2015-10-15,2264300,134142200,42663000
2015-10-16,1241200,114580100,65017500
2015-10-19,840100,76523900,37618500
2015-10-20,1348200,78448500,223500000
2015-10-21,943500,102038000,62272500
2015-10-22,1101300,174911700,42378000
2015-10-23,1367100,144442300,63532500
2015-10-26,1512200,69033000,50871000
2015-10-27,929400,77905800,52791000
2015-10-28,2617300,135906700,40929000
2015-10-29,943200,90525500,27075000
2015-10-30,1474100,131076900,66583500
2015-11-02,2939200,86270800,58918500
2015-11-03,3997100,95246100,124987500
2015-11-04,3594400,96224500,190896000
2015-11-05,1715400,78408700,67452000
2015-11-06,1198700,110471500,36679500
2015-11-09,2358300,131008700,57763500
2015-11-10,1421000,75874600,69255000
2015-11-11,1303500,67846000,50217000
2015-11-12,1263900,121315200,43738500
2015-11-13,1583300,153577100,51454500
2015-11-16,949100,117645200,43881000
2015-11-17,1155900,121123700,32230500
2015-11-18,944100,121342500,42178500
2015-11-19,1085500,88220500,37566000
2015-11-20,1273800,94011500,66010500
2015-11-23,1647300,64931200,37893000
2015-11-24,1361900,98874400,37204500
2015-11-25,904600,51980100,59862000
2015-11-27,516000,37317800,29241000
2015-11-30,6285200,112822700,39897000
2015-12-01,1780200,97858400,56010000
2015-12-02,1413700,108441300,44722500
2015-12-03,2510600,166224200,44094000
2015-12-04,3815200,192913900,38604000
2015-12-07,1543300,102027100,47163000
2015-12-08,1687300,103372400,40314000
2015-12-09,2076900,162401500,45867000
2015-12-10,2004100,116128900,31075500
2015-12-11,1994400,211173300,49030500
2015-12-14,2974600,182385200,42406500
2015-12-15,1806300,154069600,33666000
2015-12-16,2332700,197017000,76564500
2015-12-17,2290500,173092500,49479000
2015-12-18,3211500,251393500,45213000
2015-12-21,3158300,99094300,29298000
2015-12-22,2348600,111026200,29422500
2015-12-23,2538600,110987200,23325000
2015-12-24,1361700,48539600,10620000
2015-12-28,1580600,65899900,28519500
2015-12-29,2586600,92640700,36094500
2015-12-30,2367200,63317700,55468500
2015-12-31,2419700,114877900,40725000
2016-01-04,2750500,222353500,102406500
2016-01-05,1513600,110845800,47802000
2016-01-06,2391100,152112600,56686500
2016-01-07,2792900,213436100,53314500
2016-01-08,1405100,209817200,54421500
2016-01-11,2146900,187941300,61371000
2016-01-12,1645300,172330500,46378500
2016-01-13,2887800,221168900,61896000
2016-01-14,4545800,240795600,97360500
2016-01-15,1773900,324846400,83679000
2016-01-19,3856700,195244400,60580500
2016-01-20,7796900,286547800,87579000
2016-01-21,3062600,195772900,47493000
2016-01-22,3004100,168319600,46861500
2016-01-25,2164700,130371700,40480500
2016-01-26,2659100,141036800,74463000
2016-01-27,1734400,185681700,54258000
2016-01-28,1487600,143798800,68892000
2016-01-29,3634300,210529300,42784500
2016-02-01,2255300,136061600,79464000
2016-02-02,2554600,182564900,86604000
2016-02-03,3238200,205054900,118971000
2016-02-04,1179000,139531800,65781000
2016-02-05,2360200,180788300,141564000
2016-02-08,2519500,191526700,139695000
2016-02-09,2354500,184513100,129774000
2016-02-10,2553900,148214100,156097500
2016-02-11,1887700,219058900,213786000
2016-02-12,1474600,127632400,108537000
